Student ID;Institution;Year of Study;GPA;Loadshedding Frequency;Loadshedding Duration;Loadshedding Impact
80178;University of Pretoria;3;1,663884741;4;5,175194846;Moderate
45947;University of Cape Town;4;0,785221945;4;5,889825067;Severe
31801;Stellenbosch University;4;0,966345782;6;20,04465118;None
53324;University of Johannesburg;4;2,444457831;4;8,163892829;Minimal
55251;University of KwaZulu-Natal;1;2,648067238;0;17,48001157;Moderate
35724;University of Pretoria;3;0,179222267;2;9,55573859;Severe
84053;University of Cape Town;3;2,607396974;1;12,90722383;None
19682;Stellenbosch University;3;1,539757809;1;16,43297003;Minimal
86002;University of Johannesburg;1;0,348194333;4;3,308775255;Moderate
58139;University of KwaZulu-Natal;4;3,818894329;0;16,93654672;Severe
23288;University of Pretoria;2;2,482850416;5;11,88198885;None
84428;University of Cape Town;1;2,781113481;1;1,721457372;Minimal
28147;Stellenbosch University;3;0,020463028;1;11,399824;Moderate
25961;University of Johannesburg;3;2,373314731;1;9,911913244;Severe
30589;University of KwaZulu-Natal;4;3,485543439;2;15,31581242;None
35659;University of Pretoria;3;2,792559138;5;3,735206588;Minimal
88967;University of Cape Town;1;2,120805203;6;21,50007017;Moderate
11682;Stellenbosch University;1;1,068168861;3;16,19686552;Severe
77338;University of Johannesburg;4;0,398180661;5;10,67046156;None
83460;University of KwaZulu-Natal;1;2,002607125;1;3,194571609;Minimal
48931;University of Pretoria;2;0,160515568;5;16,94226622;Moderate
40358;University of Cape Town;1;3,756028676;5;0,452861642;Severe
19573;Stellenbosch University;4;3,433299031;0;5,334303199;None
65502;University of Johannesburg;1;0,770778933;5;1,841820908;Minimal
21900;University of KwaZulu-Natal;1;2,984537876;4;10,80635231;Moderate
25576;University of Pretoria;4;1,036278614;2;0,767615032;Severe
23827;University of Cape Town;4;0,972678705;4;14,13825763;None
79592;Stellenbosch University;4;1,49125202;6;21,6583567;Minimal
84867;University of Johannesburg;2;3,141004322;0;9,613234347;Moderate
89113;University of KwaZulu-Natal;3;3,566659556;5;0,102864617;Severe
50070;University of Pretoria;1;1,182265562;4;20,11841864;None
86634;University of Cape Town;2;2,180336708;0;13,99958813;Minimal
63558;Stellenbosch University;4;2,222158343;2;12,44457438;Moderate
21702;University of Johannesburg;4;2,509644911;5;20,16496379;Severe
88276;University of KwaZulu-Natal;1;1,311758711;5;11,43536289;None
63047;University of Pretoria;2;2,783028698;0;11,06427959;Minimal
95843;University of Cape Town;2;1,382939572;3;0,055114154;Moderate
93845;Stellenbosch University;1;1,301245792;1;10,65695069;Severe
24565;University of Johannesburg;4;0,773344931;5;2,528487712;None
82099;University of KwaZulu-Natal;3;0,48990834;6;19,5123859;Minimal
98563;University of Pretoria;2;1,58201635;1;5,412147635;Moderate
15383;University of Cape Town;1;3,618534739;5;2,624049848;Severe
17088;Stellenbosch University;1;1,664475898;4;7,084326724;None
46468;University of Johannesburg;4;0,503125252;3;4,108566064;Minimal
46773;University of KwaZulu-Natal;1;3,170170243;0;21,54285144;Moderate
88082;University of Pretoria;3;0,337065876;2;6,30598512;Severe
19237;University of Cape Town;1;1,667703587;1;11,68857034;None
57828;Stellenbosch University;2;3,655046788;2;4,162260645;Minimal
60028;University of Johannesburg;1;3,596795005;2;17,17755387;Moderate
90007;University of KwaZulu-Natal;2;3,184060406;5;15,22024357;Severe
81025;University of Pretoria;4;2,491126177;1;15,17156223;None
22298;University of Cape Town;1;1,88061445;2;2,902795769;Minimal
77303;Stellenbosch University;2;3,31061426;6;22,28990908;Moderate
23897;University of Johannesburg;4;1,122746327;6;5,025034296;Severe
61005;University of KwaZulu-Natal;2;2,488066736;3;15,52781798;None
41581;University of Pretoria;1;1,358145578;0;20,55613922;Minimal
48735;University of Cape Town;3;2,046587706;6;1,887074879;Moderate
54962;Stellenbosch University;1;3,36065294;2;17,45899879;Severe
14933;University of Johannesburg;1;3,538483515;4;7,055603425;None
83939;University of KwaZulu-Natal;2;1,040324149;4;21,40622444;Minimal
88559;University of Pretoria;1;3,572994062;2;14,78542294;Moderate
38062;University of Cape Town;2;3,905835669;5;12,67043928;Severe
37702;Stellenbosch University;3;0,148410823;5;0,718469787;None
23029;University of Johannesburg;3;2,270619393;0;13,09806419;Minimal
90808;University of KwaZulu-Natal;3;1,200091843;0;6,527871891;Moderate
48857;University of Pretoria;3;3,452996175;6;9,388580084;Severe
81068;University of Cape Town;1;0,816470376;0;16,26909987;None
16579;Stellenbosch University;3;2,408700266;5;22,33508103;Minimal
13105;University of Johannesburg;2;1,783774176;1;21,22749325;Moderate
69489;University of KwaZulu-Natal;1;3,426952954;2;23,60017561;Severe
78012;University of Pretoria;4;2,094520664;1;19,43308876;None
37833;University of Cape Town;3;2,870400835;5;10,39082455;Minimal
83511;Stellenbosch University;4;1,611976801;1;20,72719914;Moderate
50172;University of Johannesburg;1;0,031987109;3;0,414673032;Severe
68776;University of KwaZulu-Natal;4;1,063541292;4;6,461307856;None
59121;University of Pretoria;1;1,640186744;3;6,193644321;Minimal
56609;University of Cape Town;1;1,631361466;3;13,96161515;Moderate
17463;Stellenbosch University;4;0,551388811;1;9,405758385;Severe
15431;University of Johannesburg;1;2,243502515;6;2,310848832;None
16739;University of KwaZulu-Natal;2;1,205690227;2;9,3376173;Minimal
17079;University of Pretoria;3;1,599309451;5;12,41355815;Moderate
77913;University of Cape Town;3;2,376527322;6;16,70217853;Severe
45094;Stellenbosch University;1;1,580978557;5;16,95937529;None
82093;University of Johannesburg;4;1,560068674;3;18,39267652;Minimal
57177;University of KwaZulu-Natal;4;1,197307612;5;19,36072447;Moderate
30389;University of Pretoria;1;1,024264842;6;17,3574288;Severe
50960;University of Cape Town;3;2,993008951;0;6,92196398;None
41080;Stellenbosch University;3;0,52300881;4;3,195759097;Minimal
69663;University of Johannesburg;3;2,533707566;6;22,96911756;Moderate
60377;University of KwaZulu-Natal;4;2,530385308;1;15,84431361;Severe
67340;University of Pretoria;1;0,67459707;0;9,621696674;None
30334;University of Cape Town;3;2,490144705;4;21,27152346;Minimal
58090;Stellenbosch University;4;0,575519815;1;23,886635;Moderate
15377;University of Johannesburg;2;3,659932839;4;2,755058113;Severe
64998;University of KwaZulu-Natal;4;0,743531958;2;22,1864677;None
60155;University of Pretoria;4;1,349425138;6;22,81958007;Minimal
12034;University of Cape Town;1;2,182226567;6;14,4495637;Moderate
49783;Stellenbosch University;4;0,550204438;1;16,65265521;Severe
41134;University of Johannesburg;2;0,051671229;1;19,47812422;None
47182;University of KwaZulu-Natal;1;3,477868191;5;21,29051526;Minimal
54995;University of Pretoria;2;2,468320221;2;13,07687194;Moderate
70009;University of Cape Town;2;3,60993603;2;21,61541788;Severe
48985;Stellenbosch University;4;1,55403036;1;3,242618872;None
65877;University of Johannesburg;2;2,257755751;2;20,56720188;Minimal
59654;University of KwaZulu-Natal;2;1,676799757;0;14,30078628;Moderate
60686;University of Pretoria;4;1,362805913;1;14,3413557;Severe
88120;University of Cape Town;1;3,519366603;3;6,555909945;None
40093;Stellenbosch University;1;2,436007416;6;10,40947078;Minimal
20862;University of Johannesburg;4;1,005956987;2;10,61628598;Moderate
26537;University of KwaZulu-Natal;1;2,112551028;4;2,253759939;Severe
94337;University of Pretoria;2;3,377552566;3;3,594372361;None
46488;University of Cape Town;4;2,819155984;1;16,21973011;Minimal
65513;Stellenbosch University;1;0,057218942;3;15,42927993;Moderate
31970;University of Johannesburg;4;1,840927845;1;21,89865414;Severe
11242;University of KwaZulu-Natal;3;2,929081787;2;5,486542359;None
38862;University of Pretoria;2;3,354578604;5;21,31074221;Minimal
45828;University of Cape Town;2;3,413006116;5;15,83274471;Moderate
26676;Stellenbosch University;3;0,262918837;5;10,03215893;Severe
20398;University of Johannesburg;4;3,73476178;3;6,026415742;None
55672;University of KwaZulu-Natal;1;1,87799907;0;23,35900417;Minimal
52353;University of Pretoria;1;3,740983473;4;5,008489695;Moderate
22646;University of Cape Town;1;0,847434795;5;6,24088619;Severe
90913;Stellenbosch University;1;3,167040532;0;11,91667075;None
10691;University of Johannesburg;4;0,514742635;2;22,38713601;Minimal
42520;University of KwaZulu-Natal;3;2,219315763;0;10,77936907;Moderate
52577;University of Pretoria;4;0,910592396;2;4,199907142;Severe
23860;University of Cape Town;2;1,919274096;2;4,146421406;None
74284;Stellenbosch University;2;1,675393895;4;0,233932848;Minimal
39864;University of Johannesburg;3;2,462136443;6;10,8249437;Moderate
33044;University of KwaZulu-Natal;3;0,521440099;3;9,136712605;Severe
25886;University of Pretoria;1;3,916911761;5;3,059046219;None
43980;University of Cape Town;1;1,058798469;5;1,654861584;Minimal
57220;Stellenbosch University;1;1,587446452;3;10,98681161;Moderate
70408;University of Johannesburg;1;1,505886386;1;0,498293522;Severe
16362;University of KwaZulu-Natal;1;0,919803709;6;6,379884578;None
83303;University of Pretoria;3;3,547715026;1;4,561837006;Minimal
28721;University of Cape Town;2;3,541838009;2;1,389235072;Moderate
73872;Stellenbosch University;1;1,75026777;0;2,344505408;Severe
59250;University of Johannesburg;1;2,82471658;0;3,130321712;None
80287;University of KwaZulu-Natal;1;0,408948202;6;17,80776607;Minimal
96690;University of Pretoria;4;0,711872398;5;14,34597212;Moderate
38472;University of Cape Town;4;0,856251903;2;16,10660609;Severe
66491;Stellenbosch University;3;2,182854242;1;9,232427416;None
30575;University of Johannesburg;1;3,81862251;6;4,788548605;Minimal
15395;University of KwaZulu-Natal;1;2,941673902;2;14,83025916;Moderate
74482;University of Pretoria;3;3,321092077;0;20,68048858;Severe
91525;University of Cape Town;1;3,384452952;4;11,55435511;None
69739;Stellenbosch University;2;3,03598832;5;22,51122599;Minimal
15336;University of Johannesburg;1;1,314250107;5;1,988960718;Moderate
98151;University of KwaZulu-Natal;3;1,935082999;2;12,76959918;Severe
14741;University of Pretoria;3;3,95197555;3;13,77602571;None
32716;University of Cape Town;2;2,272727858;4;17,55286931;Minimal
17478;Stellenbosch University;1;1,859303335;6;17,77644733;Moderate
14886;University of Johannesburg;2;2,343879652;5;2,027280002;Severe
71054;University of KwaZulu-Natal;3;3,316026701;6;11,72744147;None
22947;University of Pretoria;2;1,835270714;2;0,59696074;Minimal
99259;University of Cape Town;1;2,751961319;1;9,64767534;Moderate
58642;Stellenbosch University;3;2,950113447;3;5,052995231;Severe
78958;University of Johannesburg;3;1,550210206;5;17,3191431;None
63853;University of KwaZulu-Natal;4;2,186224903;3;18,97559548;Minimal
50575;University of Pretoria;1;0,258346447;5;3,835305802;Moderate
72452;University of Cape Town;3;2,185358372;0;11,68313984;Severe
51295;Stellenbosch University;1;1,683331458;4;19,1789773;None
91910;University of Johannesburg;2;1,261892272;0;18,81016544;Minimal
10508;University of KwaZulu-Natal;2;0,986070487;1;8,047006431;Moderate
19387;University of Pretoria;2;3,788970311;5;5,491629162;Severe
15584;University of Cape Town;2;2,362442719;3;6,617671655;None
59879;Stellenbosch University;4;3,67720334;3;9,467697187;Minimal
15794;University of Johannesburg;3;1,457289048;3;17,99061032;Moderate
54090;University of KwaZulu-Natal;1;0,36305504;1;6,236077014;Severe
10734;University of Pretoria;4;1,536611357;2;19,70306355;None
59261;University of Cape Town;3;3,01618792;4;20,87786467;Minimal
40240;Stellenbosch University;1;0,101393054;3;6,823891719;Moderate
92780;University of Johannesburg;2;2,107929418;2;11,95047871;Severe
51235;University of KwaZulu-Natal;4;2,597458221;6;23,38044151;None
26393;University of Pretoria;3;0,5885226;5;21,96795453;Minimal
99594;University of Cape Town;1;0,375655776;2;17,93821782;Moderate
84768;Stellenbosch University;1;3,743810141;0;7,535775165;Severe
28083;University of Johannesburg;1;1,573649906;6;13,54859191;None
96165;University of KwaZulu-Natal;3;3,678500093;4;6,173028116;Minimal
60706;University of Pretoria;3;1,475847679;0;13,64779272;Moderate
92865;University of Cape Town;3;3,6453791;4;18,94600815;Severe
82734;Stellenbosch University;4;0,228760849;0;0,686599499;None
27816;University of Johannesburg;4;3,642036369;0;11,72617352;Minimal
66932;University of KwaZulu-Natal;3;2,663727904;1;7,044248424;Moderate
21059;University of Pretoria;1;2,610330335;1;3,597327799;Severe
62325;University of Cape Town;1;3,986223494;1;6,735322363;None
53334;Stellenbosch University;3;3,777919752;5;15,52911618;Minimal
61839;University of Johannesburg;2;1,566005751;3;13,11301869;Moderate
92882;University of KwaZulu-Natal;1;0,069265591;2;18,99736035;Severe
47701;University of Pretoria;2;1,539947124;5;2,159138746;None
22634;University of Cape Town;3;0,239800708;2;22,20796975;Minimal
14789;Stellenbosch University;1;1,784836749;5;11,97585299;Moderate
60732;University of Johannesburg;4;0,875326112;6;0,116141329;Severe
45703;University of KwaZulu-Natal;4;0,353603687;3;23,81078858;None
86117;University of Pretoria;3;3,164477195;2;18,21188304;Minimal
87361;University of Cape Town;4;2,645623788;2;18,72084278;Moderate
92975;Stellenbosch University;1;0,813936267;1;3,4711314;Severe
30392;University of Johannesburg;3;0,293119075;1;5,420922373;None
27139;University of KwaZulu-Natal;2;3,512557188;4;23,77236227;Minimal
35013;University of Pretoria;2;2,297601101;1;18,03285055;Moderate
18751;University of Cape Town;1;0,4836935;2;22,91654972;Severe
59712;Stellenbosch University;3;0,227220668;3;14,69407903;None
19326;University of Johannesburg;2;1,452113143;3;3,825541772;Minimal
33047;University of KwaZulu-Natal;1;3,353311798;5;17,29532263;Moderate
88361;University of Pretoria;4;3,357565739;2;8,756665892;Severe
20142;University of Cape Town;2;1,004645864;2;1,400650217;None
54272;Stellenbosch University;3;3,115140612;2;5,965055119;Minimal
37976;University of Johannesburg;3;2,316086368;3;12,63180238;Moderate
43477;University of KwaZulu-Natal;3;2,880885817;0;3,040954871;Severe
21796;University of Pretoria;2;1,092935864;0;17,01872296;None
96226;University of Cape Town;4;3,452992505;5;1,676475596;Minimal
63794;Stellenbosch University;1;1,918321002;0;10,18863064;Moderate
71955;University of Johannesburg;1;2,228816093;6;5,640586831;Severe
70015;University of KwaZulu-Natal;4;0,508103672;6;16,76807473;None
89284;University of Pretoria;3;3,388015412;5;10,6219225;Minimal
47519;University of Cape Town;3;1,512278637;6;23,67634452;Moderate
93606;Stellenbosch University;1;2,902547072;2;15,98676419;Severe
36601;University of Johannesburg;3;0,350541032;4;21,48130091;None
35699;University of KwaZulu-Natal;3;2,030697612;2;11,4779745;Minimal
59890;University of Pretoria;3;3,024614317;3;11,08174637;Moderate
20425;University of Cape Town;2;0,375579795;2;20,1904661;Severe
15551;Stellenbosch University;1;3,552050736;5;9,585964309;None
31308;University of Johannesburg;2;3,71314247;1;21,52069621;Minimal
84021;University of KwaZulu-Natal;4;0,870364694;5;1,002744364;Moderate
76697;University of Pretoria;4;2,737038233;2;12,08813775;Severe
26264;University of Cape Town;3;2,962263771;3;21,4764746;None
45806;Stellenbosch University;2;0,691308863;4;4,648507264;Minimal
79667;University of Johannesburg;2;3,811996213;2;15,81690955;Moderate
22143;University of KwaZulu-Natal;1;2,441598125;6;11,84749987;Severe
94899;University of Pretoria;4;3,608649675;0;6,677155743;None
90906;University of Cape Town;3;2,805995126;3;6,383303299;Minimal
66387;Stellenbosch University;4;1,118860565;4;12,25693381;Moderate
52586;University of Johannesburg;1;0,260671606;0;15,19279914;Severe
97552;University of KwaZulu-Natal;3;2,124586863;0;4,881013509;None
33869;University of Pretoria;1;2,318106834;1;10,93050051;Minimal
83454;University of Cape Town;3;1,763950286;5;12,62323114;Moderate
30375;Stellenbosch University;4;0,14893051;3;21,69573896;Severe
28750;University of Johannesburg;1;0,533787563;2;8,628990605;None
13192;University of KwaZulu-Natal;3;0,463777102;4;17,09169181;Minimal
74461;University of Pretoria;4;2,498819037;6;18,77432694;Moderate
28765;University of Cape Town;4;2,54892446;6;5,616308936;Severe
86269;Stellenbosch University;2;2,518505357;6;13,84846476;None
49755;University of Johannesburg;4;2,28054316;4;19,66590323;Minimal
81070;University of KwaZulu-Natal;1;2,411356234;6;6,244348692;Moderate
65854;University of Pretoria;3;1,35938696;2;17,60999717;Severe
90948;University of Cape Town;1;1,971248873;3;14,76852271;None
41721;Stellenbosch University;1;3,912391473;0;0,969962458;Minimal
97908;University of Johannesburg;4;1,620017306;6;7,673946096;Moderate
70917;University of KwaZulu-Natal;3;3,776623178;0;19,60741474;Severe
75560;University of Pretoria;2;2,040343983;2;2,26972067;None
58516;University of Cape Town;1;0,944085672;2;19,25657369;Minimal
37091;Stellenbosch University;2;1,748222123;6;19,09000094;Moderate
55581;University of Johannesburg;2;1,808823895;3;21,52902844;Severe
50023;University of KwaZulu-Natal;3;1,815387597;3;1,919845699;None
53775;University of Pretoria;1;0,034651792;3;6,310570617;Minimal
34284;University of Cape Town;2;0,036841121;2;8,389187064;Moderate
41844;Stellenbosch University;4;2,961597446;0;6,633960578;Severe
16570;University of Johannesburg;2;2,44822841;4;3,628630595;None
97920;University of KwaZulu-Natal;1;2,007283701;4;3,322582515;Minimal
70531;University of Pretoria;3;1,625072672;4;15,35738669;Moderate
92090;University of Cape Town;3;1,022501875;0;2,614699987;Severe
22700;Stellenbosch University;4;1,844835493;6;19,69775329;None
79638;University of Johannesburg;2;3,96335066;4;18,69347509;Minimal
62446;University of KwaZulu-Natal;2;1,411102823;3;21,59368371;Moderate
20064;University of Pretoria;4;2,971128145;6;3,493634607;Severe
44826;University of Cape Town;2;0,708555218;5;6,115556048;None
30570;Stellenbosch University;3;0,903988525;4;0,440307555;Minimal
53592;University of Johannesburg;3;3,931908414;2;2,3275609;Moderate
59158;University of KwaZulu-Natal;1;2,952132855;3;8,105617275;Severe
54340;University of Pretoria;2;1,677220193;2;1,749924289;None
71967;University of Cape Town;4;0,101120541;3;15,56656122;Minimal
64834;Stellenbosch University;2;2,53131819;2;16,90257701;Moderate
11756;University of Johannesburg;2;3,691316027;0;3,037546257;Severe
61581;University of KwaZulu-Natal;2;2,883441689;3;3,799828518;None
13663;University of Pretoria;2;1,546170373;3;21,66884277;Minimal
88447;University of Cape Town;1;1,993490215;2;9,334295874;Moderate
16138;Stellenbosch University;2;1,539867066;5;14,60885693;Severe
39883;University of Johannesburg;1;2,923299102;0;8,190195589;None
58659;University of KwaZulu-Natal;3;1,009378649;1;17,62271604;Minimal
47900;University of Pretoria;2;2,505746166;5;22,40147361;Moderate
52903;University of Cape Town;3;3,66058022;6;12,76717569;Severe
90971;Stellenbosch University;2;0,975311623;3;12,46814728;None
11653;University of Johannesburg;1;0,213036383;0;19,35158708;Minimal
25165;University of KwaZulu-Natal;3;3,571208512;5;9,809671042;Moderate
83690;University of Pretoria;4;0,746873071;4;11,35708758;Severe
57349;University of Cape Town;2;1,363514471;1;21,30144861;None
92615;Stellenbosch University;2;1,792385638;3;2,584941277;Minimal
95621;University of Johannesburg;2;3,734879039;5;14,84066648;Moderate
19475;University of KwaZulu-Natal;3;3,395778256;6;2,844333427;Severe
68406;University of Pretoria;3;3,875507241;5;0,095024629;None
82499;University of Cape Town;3;2,375704038;3;1,765859179;Minimal
29175;Stellenbosch University;4;1,741687917;0;9,99753732;Moderate
10418;University of Johannesburg;2;1,368767644;4;12,85260996;Severe
45094;University of KwaZulu-Natal;1;0,876055463;3;4,693967621;None
82417;University of Pretoria;4;1,298042071;3;23,81795984;Minimal
85181;University of Cape Town;1;2,592555877;6;3,292651437;Moderate
19597;Stellenbosch University;4;0,623670679;2;13,50185048;Severe
75534;University of Johannesburg;4;2,055943436;4;17,9807561;None
72241;University of KwaZulu-Natal;1;2,846226688;3;1,731464;Minimal
85234;University of Pretoria;1;2,366725831;1;21,45429378;Moderate
53337;University of Cape Town;2;0,569814437;5;0,074743369;Severe
12276;Stellenbosch University;4;2,479037598;0;23,79180316;None
25203;University of Johannesburg;4;3,101392757;3;1,040493871;Minimal
46413;University of KwaZulu-Natal;3;2,466480527;5;17,57024675;Moderate
86435;University of Pretoria;4;3,315668641;1;21,21905054;Severe
78677;University of Cape Town;2;2,739001314;6;15,60880136;None
66321;Stellenbosch University;3;3,428051271;1;9,933009475;Minimal
74904;University of Johannesburg;2;1,353551731;2;12,40465096;Moderate
44348;University of KwaZulu-Natal;3;2,819327135;5;5,81010393;Severe
30682;University of Pretoria;3;1,089070651;4;13,46947553;None
85535;University of Cape Town;2;3,225854358;0;10,97698626;Minimal
12368;Stellenbosch University;4;3,023316054;3;9,512521945;Moderate
29403;University of Johannesburg;2;3,670447776;5;13,02620162;Severe
63061;University of KwaZulu-Natal;1;1,24255092;5;9,366039438;None
20721;University of Pretoria;1;1,424088167;4;1,01562332;Minimal
45036;University of Cape Town;3;2,126146454;4;4,638209904;Moderate
54300;Stellenbosch University;4;0,7082722;3;13,83403238;Severe
55665;University of Johannesburg;4;3,417012658;5;20,53426545;None
30755;University of KwaZulu-Natal;2;1,966960784;6;9,010722146;Minimal
59416;University of Pretoria;1;0,905240128;5;1,999746008;Moderate
21762;University of Cape Town;1;3,204430323;2;17,06260472;Severe
59527;Stellenbosch University;2;2,660903768;0;0,944048943;None
24647;University of Johannesburg;3;1,194295845;0;12,30517467;Minimal
68838;University of KwaZulu-Natal;4;1,57532078;5;11,99911213;Moderate
23862;University of Pretoria;4;0,732894546;3;21,5697003;Severe
71873;University of Cape Town;4;1,006355893;3;19,91403963;None
38828;Stellenbosch University;1;0,287334583;6;3,775882468;Minimal
23766;University of Johannesburg;2;3,963823871;0;20,3883405;Moderate
90485;University of KwaZulu-Natal;3;0,097790705;0;8,234417899;Severe
73820;University of Pretoria;4;1,196523187;4;11,45597268;None
98733;University of Cape Town;4;0,687264593;5;12,43299621;Minimal
15058;Stellenbosch University;1;1,627696315;5;6,976462406;Moderate
19153;University of Johannesburg;1;1,272818608;0;18,15014084;Severe
48706;University of KwaZulu-Natal;2;1,830562282;5;14,80990337;None
25638;University of Pretoria;1;3,449540059;6;0,49871902;Minimal
88173;University of Cape Town;1;0,754834857;3;20,80053983;Moderate
78115;Stellenbosch University;2;1,299891215;1;2,428202828;Severe
92302;University of Johannesburg;1;3,031710135;4;6,64406839;None
40524;University of KwaZulu-Natal;1;3,734362213;3;7,056844863;Minimal
62095;University of Pretoria;4;3,823001352;2;2,136579426;Moderate
43956;University of Cape Town;2;3,292098555;6;18,06470293;Severe
46622;Stellenbosch University;4;1,950001072;3;7,718551328;None
48565;University of Johannesburg;3;1,192211813;3;0,328961928;Minimal
23499;University of KwaZulu-Natal;1;0,618438807;2;5,489256419;Moderate
92687;University of Pretoria;3;0,584790433;3;11,03798172;Severe
43650;University of Cape Town;3;3,721850494;4;3,729393164;None
46776;Stellenbosch University;4;3,331458187;5;3,316883794;Minimal
70936;University of Johannesburg;2;0,48195339;0;0,244317004;Moderate
45326;University of KwaZulu-Natal;4;1,371916194;5;16,11041186;Severe
38358;University of Pretoria;3;1,998589388;6;0,504007752;None
15423;University of Cape Town;3;0,563293312;2;0,318664306;Minimal
14330;Stellenbosch University;3;0,335544886;1;0,596654725;Moderate
22087;University of Johannesburg;2;1,995341522;4;23,14671667;Severe
22721;University of KwaZulu-Natal;2;0,14554797;6;16,58234478;None
74127;University of Pretoria;4;2,624095112;2;13,19701366;Minimal
30111;University of Cape Town;1;2,018363236;0;9,67198265;Moderate
47670;Stellenbosch University;2;2,334581337;0;7,474284771;Severe
58133;University of Johannesburg;3;2,730225497;1;13,86770063;None
65841;University of KwaZulu-Natal;3;1,8410598;6;8,276155863;Minimal
47007;University of Pretoria;2;2,328558513;0;17,89100626;Moderate
12572;University of Cape Town;3;2,358489909;0;17,6483698;Severe
79064;Stellenbosch University;1;1,27206031;1;21,15352382;None
40482;University of Johannesburg;1;3,961219951;6;4,18052433;Minimal
35029;University of KwaZulu-Natal;3;3,776536618;1;3,729360895;Moderate
55864;University of Pretoria;3;2,197122298;3;7,868396965;Severe
45898;University of Cape Town;1;0,669046917;6;10,57362158;None
83928;Stellenbosch University;3;2,056144574;6;16,23977936;Minimal
38454;University of Johannesburg;1;1,118907153;3;22,3885127;Moderate
39929;University of KwaZulu-Natal;2;3,181823632;0;8,481975677;Severe
68128;University of Pretoria;2;2,698333466;0;17,43198266;None
51639;University of Cape Town;3;1,414372741;3;0,892249067;Minimal
68975;Stellenbosch University;3;1,95895462;6;15,62046638;Moderate
73375;University of Johannesburg;1;0,463080032;4;21,62978449;Severe
98045;University of KwaZulu-Natal;3;1,91039267;2;13,03683856;None
